taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey
7439222,"Chrysis semicincta Lepeletier, 1806",7439222,"Chrysis semicincta Lepeletier, 1806",2,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Masaridae,8579,Chrysis,6725842,Chrysis semicincta,7439222
3172072,Veronica scutellata L.,3172072,Veronica scutellata L.,2,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Veronica,3172047,Veronica scutellata,3172072
3392700,Leproloma membranaceum (Dicks.) Vain.,3392685,Lepraria membranacea (Dicks.) Lettau,2,SPECIES,SYNONYM,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Lecanorales,1048,Stereocaulaceae,8302,Lepraria,9423865,Lepraria membranacea,3392685
9689627,Rumex intermedius subsp. algarviensis Rech.fil. ex G.López González,9689627,Rumex intermedius subsp. algarviensis Rech.fil. ex G.López González,1,SUBSPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Caryophyllales,422,Polygonaceae,2416,Rumex,2888942,Rumex intermedius,7638058
3742430,Anarrhinum longipedicellatum R.Fernandes,3742430,Anarrhinum longipedicellatum R.Fernandes,4,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Lamiales,408,Plantaginaceae,2420,Anarrhinum,7333412,Anarrhinum longipedicellatum,3742430
3164489,Musschia wollastonii Lowe,3164489,Musschia wollastonii Lowe,1,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Campanulaceae,8801,Musschia,3164481,Musschia wollastonii,3164489
2724729,Carex elata All.,2724729,Carex elata All.,5,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Carex,2721893,Carex elata,2724729
5725078,"Caecum elegantissimum Carpenter, 1859",5725078,"Caecum elegantissimum Carpenter, 1859",3,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Littorinimorpha,7390893,Caecidae,6188,Caecum,5199437,Caecum elegantissimum,5725078
5277736,Polysiphonia fucoides (Hudson) Greville,5277736,Polysiphonia fucoides (Hudson) Greville,1,SPECIES,ACCEPTED,Plantae,6,Rhodophyta,106,Florideophyceae,342,Ceramiales,665,Rhodomelaceae,4895,Polysiphonia,5277608,Polysiphonia fucoides,5277736
1499373,"Tabanus barbarus Coquebert de Montbret, 1804",1499373,"Tabanus barbarus Coquebert de Montbret, 1804",7,SPECIES,ACCEPTED,Animalia,1,Arthropoda,54,Insecta,216,Diptera,811,Tabanidae,6919,Tabanus,1444264,Tabanus barbarus,1499373
2284295,"Anisakis simplex (Rudolphi, 1809)",2284295,"Anisakis simplex (Rudolphi, 1809)",1,SPECIES,ACCEPTED,Animalia,1,Nematoda,5967481,Secernentea,250,Ascaridida,442,Anisakidae,2565,Anisakis,2284294,Anisakis simplex,2284295
2114914,"Pseudocalanus Boeck, 1873",2114914,"Pseudocalanus Boeck, 1873",1,GENUS,ACCEPTED,Animalia,1,Arthropoda,54,Hexanauplia,9421786,Calanoida,679,Clausocalanidae,9037,Pseudocalanus,2114914,,
7617598,"Claroideoglomus claroideum (N.C.Schenck & G.S.Sm.) C.Walker & A.Schüssler, 2010",7617598,"Claroideoglomus claroideum (N.C.Schenck & G.S.Sm.) C.Walker & A.Schüssler, 2010",9,SPECIES,ACCEPTED,Fungi,5,Glomeromycota,18,Glomeromycetes,156,Glomerales,1148,Claroideoglomeraceae,8079329,Claroideoglomus,7930462,Claroideoglomus claroideum,7617598
8197849,Xanthoria parietina (L.) Th.Fr.,2609969,Xanthoria parietina (L.) Beltr.,9,SPECIES,SYNONYM,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Teloschistales,1050,Teloschistaceae,8368,Xanthoria,2609958,Xanthoria parietina,2609969
5858758,"Cornu aspersum (O.F.Müller, 1774)",5858758,"Cornu aspersum (O.F.Müller, 1774)",5,SPECIES,ACCEPTED,Animalia,1,Mollusca,52,Gastropoda,225,Stylommatophora,1456,Helicidae,6540,Cornu,3246540,Cornu aspersum,5858758
2243481,"Asbestopluma infundibulum (Levinsen, 1887)",7994791,"Lycopodina infundibulum (Levinsen, 1887)",2,SPECIES,SYNONYM,Animalia,1,Porifera,105,Demospongiae,199,Poecilosclerida,668,Cladorhizidae,4903,Lycopodina,4572509,Lycopodina infundibulum,7994791
2409966,"Pegusa lascaris (Risso, 1810)",2409966,"Pegusa lascaris (Risso, 1810)",1,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Actinopterygii,204,Pleuronectiformes,588,Soleidae,8612,Pegusa,2409958,Pegusa lascaris,2409966
2406157,"Symbolophorus veranyi (Moreau, 1888)",2406157,"Symbolophorus veranyi (Moreau, 1888)",2,SPECIES,ACCEPTED,Animalia,1,Chordata,44,Actinopterygii,204,Myctophiformes,1306,Myctophidae,4217,Symbolophorus,2406147,Symbolophorus veranyi,2406157
2715482,Cyperus eragrostis Lam.,2715482,Cyperus eragrostis Lam.,26,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Cyperus,2713455,Cyperus eragrostis,2715482
5280024,"Hypopterygium tamarisci Bridel ex C.Müller, 1850",5280024,"Hypopterygium tamarisci Bridel ex C.Müller, 1850",1,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Hookeriales,1339,Hookeriaceae,8750,Hypopterygium,7915113,Hypopterygium tamarisci,5280024
3131380,Helichrysum foetidum (L.) Cass.,7438716,Helichrysum foetidum Moench,4,SPECIES,SYNONYM,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Asterales,414,Asteraceae,3065,Helichrysum,3131108,Helichrysum foetidum,7438716
2601174,Peltigera collina (Ach.) Schrad.,2601174,Peltigera collina (Ach.) Schrad.,7,SPECIES,ACCEPTED,Fungi,5,Ascomycota,95,Lecanoromycetes,180,Peltigerales,1055,Peltigeraceae,8373,Peltigera,2601137,Peltigera collina,2601174
2676883,"Bryum donianum Greville, 1827",2676883,"Bryum donianum Greville, 1827",5,SPECIES,ACCEPTED,Plantae,6,Bryophyta,35,Bryopsida,327,Bryales,1333,Bryaceae,8736,Bryum,2676502,Bryum donianum,2676883
6559938,Helictochloa marginata (Lowe) Romero Zarco,6559938,Helictochloa marginata (Lowe) Romero Zarco,10,SPECIES,ACCEPTED,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Poaceae,3073,Helictochloa,9459144,Helictochloa marginata,6559938
